,content,label
47,"['land', 'gc', 'yeeew', 'pre', 'lan']",Positive
48,"['paper', 'town', 'sm']",Negative
49,"['make', 'happy']",Positive
50,['ta'],Positive
51,"['monday', 'wednesday', 'g', 'na', 'girl']",Negative
52,"['ohhhh', 'miss']",Negative
53,"['yet', 'hopefully', 'soon', 'fingers', 'cross', 'come', 'clapham']",Negative
54,"['want', 'kylie', 'jenner', 'clothes']",Negative
55,"['thankyou', 'bro']",Positive
56,"['rock', 'thank', 'much', 'mention']",Positive
57,"['friend', 'fatma', 'm']",Negative
58,"['ps', 'take', 'hopeful', 'count']",Positive
59,"['follow', 'x']",Positive
60,"['want', 'escape', 'please']",Negative
61,"['pm', 'rn', 'currently', 'degree', 'fahrenheit', 'really', 'warm', 'good']",Positive
62,"['thankyou', 'x']",Positive
63,"['hey', 'marty', 'glad', 'see', 'twitter']",Positive
64,"['please', 'follow', 'love', 'much', 'would', 'mean', 'world']",Positive
65,"['dont', 'say', 'might', 'steel', 'otamendi']",Negative
66,['welcome'],Positive
67,"['great', 'way', 'start', 'day', 'd']",Positive
68,"['tgif', 'unless', 'one', 'student', 'light', 'read', 'singapore', 'heroes', 'gp', 'essay', 'alevel']",Positive
69,"['famous', 'bowl']",Negative
70,"['xue', 'make', 'sing', 'song', 'long', 'd', 'always', 'give', 'midori', 'work']",Negative
71,"['ye', 'banate', 'hain', 'd']",Positive
72,"['hey', 'lot', 'write', 'deathly', 'hallows', 'supernatural', 'go']",Positive
73,"['always', 'forget', 'tag', 'ppl']",Positive
74,"['waiting', 'love', 'recuerda', 'tanto', 'bath']",Negative
75,[],Positive
76,"['go', 'much', 'swear', 'i', 'm', 'unluckiest', 'bettor']",Negative
77,"['kianweareproud', 'proud', 'love', 'much']",Positive
78,"['goood', 'mornin', 'earthling', 'd']",Positive
79,"['abby', 'please', 'try', 'help', 'get', 'mum', 'come', 'see', 'london']",Negative
80,"['id', 'conflict', 'thanks', 'help', 'd', 'here', 's', 'screenshot', 'work']",Positive
81,"['first', 'day', 'sch', 'miss', 'share', 'class', 'w', 'jeslyn', 'already']",Negative
82,"['full', 'hope', 'basara', 'capcom', 'release', 'pc']",Negative
83,"['hi', 'thanks', 'connect', 'specialise', 'thermal', 'image', 'survey', 'need', 'us']",Positive
84,"['also', 'i', 'm', 'super', 'late', 'send', 'present', 'go', 'next', 'day', 'delivery', 'today', 'x']",Positive
85,"['say', 'bday']",Positive
86,"['new', 'story', 'illustration', 'visual', 'pleasure', 'thanks', 'look']",Positive
87,"['wow', 'thanks', 'donna', 'determined', 'get', 'woman', 'cycle', 'amaze', 'change', 'life']",Positive
88,['sorry'],Negative
89,"['scoups', 'bakit', 'scoups']",Negative
90,"['park', 'get', 'sunlight']",Positive
91,"['thing', 'go', 'wrong', 'go', 'wrong', 'break', 'manual', 'wheelchair', 'check', 'get', 'one', 'fit', 'nhs', 'weeks', 'wait']",Negative
92,"['follow', 'follow', 'u', 'back']",Positive
93,"['hahaha', 'wish']",Negative
94,"['need', 'smoke', 'need', 'ice']",Positive
95,"['single', 'man']",Positive
96,"['wtf', 'make', 'new', 'giveaway', 'acc', 'can', 't', 'tweet', 'anything']",Negative
97,"['looking', 'offline', 'thesims', 'game', 'guide', 'we', 've', 'get', 'cover']",Positive
98,['get'],Negative
99,"['nex', 'vex', 'design']",Positive
100,"['btw', 'anyone', 'represent', 'football', 'manager', 'community', 'youtube', 'fm', 'fmfamily', 'vidcon']",Positive
101,"['channel', 's', 'show', 'planetbollywoodnews', 'full', 'epi', 'available', 'online']",Positive
102,"['hide', 'behind', 'large', 'format', 'camera']",Positive
103,"['awwwww', 'baby']",Negative
104,"['xbsbabnb', 'poor']",Negative
105,"['love', 'book', 'he', 's', 'big', 'credit', 'turkish', 'literature', 'favourite', 'book', 'name', 'red']",Positive
106,"['someone', 'harry', 'potter', 'marathon']",Negative
107,"['kind', 'word', 'never', 'go', 'unappreciated', 'even', 'mention', 'site', 'gracious', 'thank', 'feedback']",Positive
108,"['first', 'third', 'look', 'promising', 'else', 'fails', 'make', 'decision', 'go']",Positive
109,"['good', 'idea', 'free', 'stress', 'speculation', 'allow', 'work', 'consistency']",Positive
110,['raining'],Negative
111,"['use', 'i', 'll', 'pick', 'next', 'time', 'i', 'm', 'yeah', 'i', 'll', 'cook', 'nice', 'big', 'kitchen']",Positive
112,"['want', 'white', 'french', 'bulldog']",Negative
113,"['cry', 'bc', 'miss', 'mingming', 'much']",Negative
114,"['sad', 'see', 'become', 'labs', 'place', 'take', 'ovh', 'nothing', 'ovh', 'support', 'suck', 'much']",Positive
115,"['looks', 'really', 'good', 'get', 'grey', 'basename', 'path', 'one', 'colour', 'using', 'one', 'dark', 'tomorrow', 'night', 'theme']",Negative
116,"['poor', 'baby']",Negative
117,"['happy', 'birthday']",Positive
118,"['believe', 'actually', 'go', 'home', 'sit', 'half', 'hour', 'go', 'work', 'lose', 'number', 'ring', 'anyway', 'bbz']",Negative
119,"['d', 'ty', 'bby']",Positive
120,"['unit', 'first', 'sem', 'second', 'year', 'please', 'tell', 'us', 'kid']",Negative
121,['love'],Positive
122,['real'],Positive
123,"['full', 'really', 'great', 'job', 'congrats']",Positive
124,"['mention', 'mee', 'omg', 'envious', 'please', 'oppa', 'eonni', 'stop', 'lovey', 'dovey', 'front', 'poor', 'single', 'dongsaeng']",Negative
125,"['true', 'vote', 'many', 'time', 'underrated', 'like', 'slovakia', 's', 'entry', 'd']",Negative
126,"['we', 're', 'training', 'socent', 'startup', 'week', 'w', 'we', 'd', 'love', 'drop', 'youre', 'arnd', 'town']",Positive
127,"['actually', 'gonna', 'start', 'pm']",Positive
128,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', 'see', 'warsaw', 'love', 'x']",Positive
129,"['hate', 'see']",Negative
130,"['camping', 'trip', 'start', 'saturday', 'somerset', 'look', 'good', 'sunday', 'though', 'different', 'story']",Negative
131,"['follow', 'everyone', 'back', 'teamfollowback']",Positive
132,['know'],Positive
133,"['fuuuuuuuuuck', 'jesus']",Negative
134,"['country', 'first', 'sign', 'decent', 'outdoor', 'rave', 'piss', 'day', 'i', 've', 'pack']",Positive
135,"['i', 've', 'eye', 'small', 'kate', 'spade', 'bag', 'pero', 'walang', 'maganda']",Negative
136,"['remember', 'someone', 'see', 'feat', 'charlie', 'puth', 'wiz', 'khalifa']",Positive
137,['schade'],Negative
138,"['google', 'account']",Positive
139,"['episode', 'excellent', 'far', 'love', 'adam', 'beach', 's', 'movie', 'show', 'i', 'm', 'look', 'forward', 'see', 'suicide', 'squad', 'next', 'year']",Positive
140,['jahat'],Negative
141,"['affaraid', 'i', 'll']",Positive
142,['awful'],Negative
143,"['terible', 'headache']",Negative
144,"['lol', 'love', 'sweet', 'potato', 'fry']",Negative
145,"['ah', 'thank', 'reason', 'right']",Positive
146,"['oh', 'anything', 'yo', 'ucan']",Negative
147,"['happy', 'eid', 'mubarak', 'brotheeeeerrrr', 'd']",Positive
148,"['srsly', 'order', 'time']",Negative
149,"['what', 's', 'wrong']",Negative
150,"['yes', 'jack', 'fuck', 'thanks']",Positive
151,"['hahahaha', 'way', 'p', 'must', 'wear', 'ah', 'school', 'uniform']",Positive
152,"['funny', 'next', 'anime', 'umaru', 'd']",Positive
153,"['thanks', 'cjradacomateada']",Positive
154,"['jimin', 's', 'fancafe', 'post', 'yesterday', 'go']",Negative
155,"['white', 'thing', 'ngeze', 'turn', 'white', 'party', 'i', 've', 'nothing', 'cocktaily', 'classy', 'stress']",Negative
156,"['great', 'weekend', 'friend']",Positive
157,"['oh', 'yes', 'shirt', 'they', 're', 'nice', 'rofl', 'old', 'mint', 'd', 'i', 'm', 'rock', 'sexy', 'superdry', 'tee', 'right', 'x']",Positive
158,"['common', 'celebrate', 'never', 'fail', 'get', 'good', 'mood']",Positive
159,"['oh', 'great']",Positive
160,"['give', 'sunburnt', 'manage', 'get', 'weekend', 'maybe', 'i', 'll', 'safer', 'rain']",Negative
161,"['hi', 'oh', 'let', 's', 'take', 'look', 'please', 'chat', 'us']",Negative
162,"['long', 'feel', 'comfortable', 'im', 'gonna', 'wear', 'want', 'mother', 'haha', 'sound', 'nice']",Positive
163,"['boat', 'trip', 'beautiful', 'wife']",Positive
164,"['know', 'play', 'one', 'last', 'time', 'need', 'one', 'take', 'home', 'piano', 'cant', 'rest', 'fml']",Negative
165,"['happy', 'burfday', 'd']",Positive
166,"['hi', 'i', 've', 'speak', 'store', 'advise', 'paypoint', 'card', 'top', 'thanks', 'beth']",Positive
167,"['i', 'm', 'really', 'sorry']",Negative
168,"['mobile', 'work', 'anymoreeeeee']",Negative
169,"['appreciate', 'propriety']",Positive
170,"['think', 'mad', 'bank', 'paypal', 'yesterday', 'royally', 'fuck', 'i', 'm', 'screw']",Negative
171,"['join', 'frequentflyer', 'program']",Positive
172,"['i', 'm', 'play', 'brain', 'dots', 'braindots']",Positive
173,"['yes', 'please', 'would', 'great', 'work', 'd', 'peachyloans', 'fridayfreebie', 'xx']",Positive
174,"['love', 'photo', 'explain', 'ukraine', 'russia']",Positive
175,"['love', 'much', 'beli', 'eve', 'wi', 'll', 'follow', 'please', 'follow', 'please', 'justi', 'n', 'x']",Negative
176,"['havent', 'tweet', 'year', 'kinda', 'miss']",Positive
177,"['hell', 'go', 'wrong', 'understand', 'people', 'choose', 'hurt']",Negative
178,"['want', 'chicken', 'nugget']",Negative
179,"['smell', 'like']",Negative
180,"['literally', 'eat', 'whole', 'gallon', 'ice', 'cream', 'idk', 'proud', 'nah', 'ryan']",Negative
181,"['always', 'much', 'fun', 'th', 'hour', 'get', 'together', 'ending', 'night', 'ice', 'cream', 'xfiles', 'content']",Positive
182,"['let', 's', 'go', 'party', 'pant', 'ew', 'gross']",Negative
183,"['i', 'm', 'go', 'miss', 'baby', 'rancho', 'imperial', 'de', 'silang', 'subdivision']",Negative
184,"['morning', 'hospital', 'day', 'today', 'hoping', 'finally', 'get', 'sign', 'long', 'year', 'pain', 'ops', 'fingerscrossed']",Positive
185,"['happy', 'birthday', 'jiva', 'ever']",Positive
186,"['mad', 'gigi', 'dream', 'hang', 'didnt', 'want', 'talk']",Negative
187,"['update', 'soon', 'i', 'm', 'sure', 'sign', 'set', 'text', 'alert', 'da']",Positive
188,"['whaaaaaaaaaat', 'leave']",Negative
189,"['i', 'm', 'unfollow', 'spree', 'account', 'fave', 'tweet', 'unfollow']",Positive
190,"['cry', 'watch', 'bigbang', 'tl']",Negative
191,"['stressful', 'even', 'dress', 'size', 'ke', 'shem']",Negative
192,"['worry', 'aapke', 'benchmark', 'ke', 'hisaab', 'se', 'already', 'hit', 'ho', 'gaya', 'hai', 'd']",Positive
193,"['haha', 'sia']",Positive
194,"['great', 'thanks', 'lovely', 'almost', 'response', 'first', 'hour', 'delighted', 'really', 'great', 'comment', 'next']",Positive
195,"['follow', 'follow', 'u', 'back']",Positive
196,"['ok', 'worry']",Positive
197,"['followfriday', 'top', 'engage', 'member', 'community', 'week']",Positive
198,"['sick', 'mumma', 'sick', 'bubba', 'cuddle', 'cuddling', 'floor', 'footy', 'fall', 'asleep']",Negative
199,"['still', 'hop', 'zayniscomingbackonjuly']",Negative
200,"['hi', 'would', 'like', 'concert', 'let', 'know', 'city', 'country', 'i', 'll', 'start', 'work', 'thanks']",Positive
201,"['hahaha', 'okay', 'thank']",Positive
202,"['still', 'dosent', 'work']",Negative
203,['nighter'],Negative
204,"['hrs', 'tym', 'prepare']",Positive
205,"['disgust', 'piece', 'shit', 'amazing', 'mother', 'mateo', 'brooklyn', 'lucky', 'deserve']",Negative
206,"['congratulation', 'infinite', 'deserve', 'd', 'fight', 'mubank', 'today', 'i', 'll', 'always', 'support', 'infinite']",Positive
207,"['indian', 'fan', 'really', 'miss', 'uu', 'dear', 'uu', 'miss', 'us']",Negative
208,"['new', 'potato', 'garden', 'hundred', 'dig']",Positive
209,"['okay', 'thank', 'd']",Positive
210,"['massage', 'appointment', 'available', 'tomorrow', 'morning', 'burnley', 'give', 'us', 'call', 'book']",Positive
211,"['goodnight', 'fuck']",Positive
212,"['morning', 'tweeps', 'new', 'post', 'today', 'please', 'like', 'share', 'see', 'thanks']",Positive
213,"['omg', 'fabina', 'bae', 'otp', 'ik', 'otp', 'mean']",Negative
214,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', 'see', 'warsaw', 'love', 'x']",Positive
215,"['live', 'countdown', 'v', 'app', 'i', 'm', 'still', 'confuse', 'function', 'watch', 'desktop']",Negative
216,"['future', 'almost']",Positive
217,"['u', 'hardcore', 'stay', 'dis', 'late', 'favorite']",Positive
218,"['stats', 'day', 'arrive', 'new', 'follower', 'unfollowers', 'via']",Positive
219,"['hope', 'everything', 'go', 'great', 'lol']",Positive
220,['abby'],Negative
221,"['try', 'tweet', 'unicef', 's', 'account', 'answer']",Negative
222,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', 'see', 'warsaw', 'love', 'x']",Positive
223,"['looks', 'pretty', 'nice', 'love', 'flat', 'look']",Positive
224,"['what', 's', 'score', 'i', 'm', 'stuck', 'work']",Negative
225,"['early', 'day', 'boner', 'mercy']",Negative
226,"['asshole', 'that', 's', 'honest', 'tribute']",Positive
227,"['get', 'image', 'header', 'website', 'centralise']",Negative
228,"['forget', 'like', 'people', 'i', 'm', 'sorry']",Negative
229,"['wanna', 'watch', 'paper', 'town', 'sadly', 'one', 'go', 'w']",Negative
230,['baby'],Negative
231,"['can', 't', 'even', 'see', 'hyungwon']",Negative
232,"['doesnt', 'sound', 'appeal']",Negative
233,"['belated', 'good', 'morning', 'sir', 'd']",Positive
234,"['anyone', 'want', 'add', 'bot', 'dm', 'bot']",Positive
235,"['growing', 'fond', 'christopher', 'like', 'initially', 'cocky', 'really', 'prove', 'attitude', 's', 'improve', 'd']",Positive
236,"['feel', 'look', 'good', 'people', 'can', 't', 'see', 'tbh', 'look', 'tacky']",Negative
237,"['can', 't']",Negative
238,"['bad', 'vs', 'party']",Negative
239,['thank'],Positive
240,"['need', 'put', 'clothes', 'n', 'stuff', 'n', 'right', 'w', 'u', 'stuff', 'u']",Negative
241,"['people', 'look', 'funny', 'i', 'm', 'drink', 'savanna', 'straw']",Negative
242,"['g', 'liker', 'like', 'fast']",Positive
243,"['yes', 'far', 'nightmare', 'sort', 'light', 'end', 'tunnel', 'fank', 'dog', 'xxx']",Negative
244,[],Negative
245,"['please', 'notice', 'meowkd']",Negative
246,['cuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuute'],Positive
247,"['watching', 'story', 'snapchat', 'kill', 'whats', 'life', 'beach', 'pool', 'week', 'long', 'work', 'bitch']",Negative
248,"['look', 'gorgeous']",Positive
249,"['cat', 'love', 'snuggle', 'right', 'face', 'love', 'never', 'breathe']",Negative
250,['thank'],Positive
251,"['anyone', 'deal', 'toll', 'get', 'package', 'understand', 'website']",Negative
252,"['always', 'go', 'terrible', 'time']",Negative
253,"['welcome', 'sabah']",Positive
254,"['can', 't', 'kink', 'charger', 'fuck']",Negative
255,"['know', 'fml']",Negative
256,['thank'],Positive
257,"['s', 'think', 'bc', 'im', 'run', 'space', 'tbh']",Negative
258,"['congrats', 'yay', 'invite']",Negative
259,"['pamper', 'day', 'great', 'cuts', 'angelo', 'justin', 'quezon', 'city']",Positive
260,"['kyunke', 'aitchison', 'hai', 'p', 'look', 'response', 'original', 'tweet', 'know', 'brother']",Positive
261,['bitin'],Negative
262,"['please', 'follow', 'liam']",Positive
263,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', 'see', 'warsaw', 'love', 'x']",Positive
264,"['omg', 'ally', 'hug', 'mani', 'wrap', 'arm', 'around', 'neck', 'pull', 'close']",Negative
265,"['hello', 'get', 'youth', 'job', 'opportunities', 'follow']",Positive
266,"['anyone', 'else', 's', 'show', 'box', 'work']",Negative
267,"['i', 'm', 'play', 'brain', 'dots', 'braindots']",Positive
268,"['he', 's', 'twitching', 'he', 's', 'get', 'twitch']",Positive
269,"['yes', 'bbq', 'attend']",Negative
270,"['who', 's', 'awake']",Positive
271,"['text', 'hit', 'dm', 'lol']",Positive
272,['boyfriend'],Negative
273,"['reckon', 'chance', 'see', 't', 'action', 'taunton', 'tonight', 'hopeful', 'realistic', 'face']",Negative
274,"['oh', 'god', 'misty', 'baby', 'cute', 'd']",Positive
275,"['save', 'pics', 'master', 'nim', 'say', 'there', 're', 'pics', 'ask', 'many', 'pic', 'see']",Positive
276,"['team', 'hoping', 'find', 'beatport', 'collection', 'via', 'spotify', 'soon']",Positive
277,"['ahh', 'get', 'hope', 'okay']",Negative
278,"['home', 'alone']",Negative
279,['picture'],Positive
280,"['thanks', 'texting', 'back', 'i', 'm', 'texting', 'tomorrow']",Positive
281,"['project', 'want', 'enter', 'pitchwars', 'may', 'work', 'first', 'chap', 'mine', 's', 'phone', 'call', 'transcript', 'ugh']",Negative
282,"['yes', 'many', 'time', 'quitkarwaoyaaro']",Negative
283,['okay'],Positive
284,"['last', 'exam']",Positive
285,"['i', 'm', 'move', 'next', 'week']",Negative
286,"['yep', 'exactly']",Negative
287,"['whatsapp', 'roommate', 'want', 'anything', 'paris', 'french', 'man', 'lol', 'sure', 'i', 'll', 'head', 'park', 'grab', 'one']",Positive
288,"['embarrassing', 'texted', 'wrong', 'organization', 'gosh']",Negative
289,"['pc', 'hotel', 'd']",Positive
290,"['voucher', 'new', 'bugatti', 'what', 's', 'value', 'd']",Positive
291,"['keep', 'go', 'min', 'lol']",Positive
292,"['super', 'd']",Positive
293,"['bc', 'still', 'hop']",Negative
294,"['good', 'luck', 'shaun']",Positive
295,"['add', 'video', 'playlist', 'im', 'back', 'twitch', 'today', 'go', 'league']",Positive
296,"['travel', 'style']",Positive
297,"['they', 're', 'even', 'familiar', 'idea', 'snapchat', 'im', 'sure', 'phone', 'question', 'bother', 'enough', 'p']",Positive
298,"['he', 's', 'always', 'gunna', 'former', 'leeds', 'manager']",Negative
299,['virgin'],Negative
300,"['full', 'time', 'job', 'mean', 'gonna', 'part', 'time', 'fun']",Negative
301,"['say', 'get', 'much', 'time', 'hand', 'rogerwatch']",Negative
302,"['hp', 'low', 'dong']",Negative
303,"['r', 'u', 'angry', 'feel', 'disappointed', 'mm', 'srry']",Negative
304,"['deserve', 'shit']",Positive
305,"['thank', 'tweenie', 'fox', 'hi', 'please', 'click', 'list', 'hair', 'accessory', 'product']",Positive
306,"['leave', 'note', 'fridge']",Positive
307,"['two', 'year', 'old', 'deeply', 'love']",Positive
308,"['yeah', 'look']",Negative
309,"['time', 'sleep']",Positive
310,"['nothing', 'though']",Negative
311,"['wanna', 'loser', 'like']",Positive
312,['thank'],Positive
313,['contectually'],Positive
314,"['good', 'lord']",Negative
315,"['quite', 'phenomenal', 'offer', 'bosch', 'washing', 'machine', 'week', 's', 'definitely', 'last', 'long']",Positive
316,"['pity', 'party']",Positive
317,"['fun', 'germany', 'can', 't']",Negative
318,"['many', 'thanks', 'via']",Positive
319,"['ice', 'cream', 'van', 'busy', 'maybe', 'late', 'ubericecream']",Negative
320,"['agreed', 'suspicious', 'minds']",Positive
321,"['female', 'wanna', 'get', 'poppin', 'joc', 'playin']",Negative
322,"['dont', 'come', 'italy']",Negative
323,"['lucky', 'dog', 'hate']",Positive
324,"['trying', 'get', 'ice', 'cream', 'leeds', 'keep', 'cancel', 'needicecreamnow', 'ubericecream']",Negative
325,"['awww', 'kiligs', 'ty']",Negative
326,"['still', 'confuse', 'enroll', 'sem']",Negative
327,"['good', 'morning']",Positive
328,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', 'see', 'warsaw', 'love', 'x']",Positive
329,"['want', 'dont', 'paypal']",Negative
330,"['i', 'm', 'forever', 'eat', 'like', 'pregnant', 'woman', 'days']",Negative
331,"['hi', 'unfortunately', 'we', 're', 'unable', 'locate', 'original', 'complaint', 'pls', 'dm', 'us', 'product', 'detail', 'we', 'll', 'get', 'back']",Negative
332,"['that', 's', 'different', 'department', 'd', 'benefit', 'b', 'b', 'v', 'b', 'c', 'someone', 'else', 's', 'money', 'soo', 'funny', 'enterprison', 'idea']",Positive
333,"['follow', 'follow', 'u', 'back']",Positive
334,"['gorgeous', 'son', 'morocco', 'last', 'year', 'special', 'holiday', 'peru', 'nxt', 'year']",Positive
335,"['turkey', 'bombing', 'isis', 'syria', 'allow', 'usa', 'use', 'one', 'airfields', 'jets']",Negative
336,"['boo', 'already', 'turn', 'yes']",Negative
337,"['wow', 'much', 'hate', 'come', 'way', 'speak', 'truth', 'must', 've', 'hit', 'nerve', 'keep', 'speak']",Positive
338,[],Negative
339,"['english', 'weather', 'need', 'fix']",Negative
340,"['exclusive', 'germany', 'unfair', 'esp', 'regard', 'current', 'bleak', 'german', 'chart', 'situation', 'still', 'entry', 'even', 'top', 'pfft']",Negative
341,"['think', 'win', 'mubank', 'lol', 'dongwoo', 's', 'unexpected', 'tweet', 'd']",Positive
342,"['congratulation', 'daughter', 'd']",Positive
343,"['phone', 'fell', 'hand', 'wake']",Negative
344,"['hi', 'happys']",Positive
345,"['look', 'forward', 'hear', 'thought', 'maritimenation']",Positive
346,"['say', 'man', 'u', 'fan']",Negative
347,"['srsly', 'u']",Negative
348,"['sooooooooooo', 'tire']",Negative
349,"['funny', 'yes', 'soon', 'always', 'go', 'soon', 'd']",Positive
350,"['hello', 'playing', 'yello', 'race']",Positive
351,"['listen', 'radio', 'worry', 'wacha', 'niende', 'online']",Negative
352,"['desc', 'word', 'anon']",Negative
353,"['love', 'much', 'beli', 'eve', 'wi', 'll', 'follow', 'please', 'follow', 'please', 'justi', 'n', 'x']",Negative
354,"['hi', 'greeting', 'marseille', 'nice', 'day']",Positive
355,"['minecraft', 'pretty', 'boring', 'talk', 'people', 'even', 'boring', 'talk', 'people', 'p']",Positive
356,"['idk', 'i', 'm', 'get', 'mini', 'bus', 'idk', 'time', 'i', 'm', 'go', 'get']",Negative
357,"['megan', 'fell', 'asleep', 'already']",Negative
358,"['wish', 'could', 'speak', 'igbo']",Negative
359,"['think', 'need', 'rest', 'goodnight', 'xx']",Positive
360,"['that', 's', 'awful', 'son', 'miss', 'physic', 'exam', 'chicken', 'pox', 'give', 'predict', 'grade', 'poor', 'girl']",Negative
361,"['wishing', 'colorado']",Positive
362,"['shall', 'd', 'shall', 'shout', 'roof', 'top', 'social', 'medium', 'p']",Positive
363,"['meet', 'skyfall', 'premiere', 'age', 'ago', 'though', 'he', 's', 'yummy', 'like', 'cake']",Negative
364,"['would', 'really', 'would']",Negative
365,"['wala', 'load', 'e', 'try', 'ko', 'i', 'll', 'text', 'u', 'late']",Negative
366,"['love', 'much', 'beli', 'eve', 'wi', 'll', 'follow', 'please', 'follow', 'please', 'justi', 'n', 'x']",Negative
367,"['hard', 'better', 'good', 'ginger', 'cat']",Positive
368,"['victoria', 'park', 'books', 'close']",Negative
369,"['awesome', 'catch', 'buzz', 'video', 'burnt', 'brian', 'smoke', 'mist', 'cool', 'extreme', 'd']",Positive
370,"['birthday', 'today', 'birthday', 'wish', 'hope', 'there', 's', 'good', 'news', 'ben', 'soon']",Positive
371,['seriously'],Negative
372,"['get', 'follow', 'link', 'find', 'code', 'enjoy', 'tom']",Positive
373,"['thanks', 'lack', 'time', 'problem']",Negative
374,"['sorry', 'loss', 'may', 'allah', 'give', 'jannatul', 'ferdous']",Negative
375,"['get', 'free', 'gold', 'w', 'download', 'world', 'tanks', 'easy', 'click', 'aqui', 'd']",Positive
376,"['steph', 'come', 'back', 'nj']",Positive
377,"['awww', 'baby', 'ylona', 'awww', 'dream', 'team']",Negative
378,"['rofl', 'go', 'happen', 'rest', 'assure', 'd']",Positive
379,"['offer', 'mixtape', 'talk', 'suckmejimin']",Negative
380,"['fruity', 'vodka', 'always', 'help']",Positive
381,"['mr', 'climb', 'give', 'cuddle']",Positive
382,"['jouch', 'por', 'que']",Negative
383,"['bad', 'sleep', 'difficiency']",Negative
384,['sorry'],Negative
385,"['shouldeeerr', 'outfit', 'sad']",Negative
386,"['hate', 'day']",Negative
